user,game
1199,1170
1199,453
1199,1069
1199,454
1199,650
1199,597
1199,827
1199,649
1199,1144
1199,1247
1199,1153
1199,312
1199,137
1199,368
1199,452
1199,958
1199,532
1199,900
1199,706
1199,402
1199,365
1199,135
1199,935
1199,507
1199,612
1199,28
1199,136
1199,447
1199,455
1199,456
1199,457
1199,530
1199,586
1199,1154
1199,1171
1199,1172
1199,1173
442,1290
442,438
442,1170
442,1015
442,640
442,246
442,1
442,436
442,802
442,623
442,242
442,104
442,1292
442,257
442,801
442,1135
442,1027
442,78
442,245
442,1144
442,650
442,871
442,225
442,243
442,244
442,454
442,455
442,456
442,457
442,507
442,626
442,689
442,697
442,768
442,872
442,977
442,978
442,985
442,1028
442,1031
378,534
378,606
378,650
378,672
378,956
378,954
378,967
378,462
378,955
378,939
378,78
378,464
378,870
378,1059
378,391
378,615
378,741
378,678
378,855
378,334
378,736
378,335
378,108
378,1281
378,217
378,387
378,429
378,1054
378,1033
378,1354
378,966
378,309
378,558
378,1010
378,1205
378,342
378,442
378,104
378,21
378,106
378,548
378,903
378,729
378,744
378,454
378,79
378,804
378,463
378,181
378,820
378,502
378,1038
378,536
378,1015
378,942
378,842
378,488
378,777
378,561
378,928
378,782
378,1062
378,349
378,560
378,1360
378,732
378,316
378,594
378,902
378,270
378,854
378,430
378,1098
378,1158
378,643
378,670
378,1093
378,1209
378,518
378,707
378,64
378,671
378,103
378,345
378,649
378,1050
378,532
378,123
378,554
378,1116
378,703
378,640
378,1284
378,476
378,543
378,646
378,60
378,435
378,1187
378,426
378,153
378,891
378,996
378,1219
378,135
378,1277
378,1026
378,776
378,287
378,460
378,1203
378,805
378,795
378,1293
378,436
378,1188
378,298
378,871
378,938
378,1069
378,562
378,797
378,609
378,47
378,806
378,664
378,783
378,491
378,569
378,1066
378,12
378,311
378,1123
378,496
378,1049
378,203
378,273
378,1105
378,866
378,654
378,808
378,1119
378,1304
378,1003
378,869
378,611
378,1065
378,961
378,1245
378,1217
378,934
378,1130
378,118
378,770
378,92
378,1027
378,1164
378,733
378,1052
378,922
378,964
378,1121
378,388
378,1133
378,198
378,49
378,61
378,120
378,229
378,80
378,1020
378,565
378,62
378,197
378,22
378,23
378,25
378,28
378,30
378,34
378,44
378,45
378,46
378,54
378,65
378,66
378,85
378,87
378,88
378,127
378,126
378,89
378,132
378,136
378,137
378,152
378,160
378,161
378,162
378,163
378,167
378,169
378,173
378,176
378,178
378,205
378,210
378,221
378,223
378,231
378,232
378,235
378,242
378,243
378,245
378,246
378,249
378,250
378,262
378,269
378,276
378,294
378,301
378,283
378,312
378,313
378,319
378,320
378,317
378,322
378,330
378,333
378,337
378,338
378,339
378,343
378,359
378,364
378,368
378,392
378,410
378,412
378,431
378,432
378,434
378,448
378,451
378,455
378,456
378,457
378,459
378,461
378,437
378,511
378,514
378,521
378,524
378,525
378,526
378,495
378,544
378,545
378,557
378,559
378,563
378,567
378,570
378,582
378,585
378,586
378,587
378,588
378,589
378,590
378,596
378,599
378,604
378,612
378,614
378,618
378,620
378,622
378,623
378,626
378,634
378,648
378,641
378,645
378,661
378,689
378,708
378,712
378,716
378,718
378,719
378,717
378,728
378,673
378,730
378,739
378,748
378,674
378,772
378,786
378,807
378,823
378,815
378,816
378,829
378,839
378,851
378,819
378,872
378,886
378,906
378,907
378,913
378,1394
378,916
378,918
378,937
378,943
378,889
378,965
378,982
378,985
378,997
378,998
378,999
378,993
378,1001
378,1024
378,1028
378,1057
378,1067
378,1076
378,1078
378,1077
378,1079
378,1080
378,1083
378,1087
378,1088
378,1081
378,1082
378,1084
378,1085
378,1086
378,1094
378,1131
378,1148
378,1153
378,1154
378,1159
378,1161
378,1170
378,1184
378,1186
378,1189
378,1191
378,1204
378,1210
378,1214
378,1215
378,1218
378,1220
378,1226
378,1228
378,1229
378,1233
378,1234
378,1235
378,1247
378,1257
378,1259
378,1263
378,1274
378,1292
378,1299
378,1305
378,1306
378,1307
378,1308
378,1313
378,1321
378,1302
378,1343
378,1359
378,1389
1035,365
1035,257
1035,259
1035,950
1035,966
1035,1144
1035,313
1035,507
1035,258
1035,808
1035,935
1035,462
1035,424
1035,312
1035,1331
1035,285
1035,470
1035,370
1035,662
1035,774
1035,784
1035,786
1035,888
1035,1138
1035,1299
1035,1336
1035,1392
787,718
787,711
787,736
787,680
787,786
787,891
787,1059
787,923
787,1144
787,365
787,5
787,420
787,87
787,1121
787,645
787,703
787,181
787,741
787,273
787,229
787,262
787,805
787,16
787,49
787,72
787,104
787,114
787,110
787,92
787,167
787,235
787,237
787,252
787,318
787,312
787,316
787,347
787,401
787,407
787,435
787,498
787,545
787,569
787,600
787,661
787,664
787,677
787,719
787,717
787,729
787,884
787,892
787,1010
787,1226
787,1233
787,1302
787,1362
787,1380
787,1381
787,1382
735,1170
735,1
735,507
735,463
735,789
735,594
735,518
735,595
735,46
735,137
735,1172
339,254
339,753
339,255
339,210
339,189
339,190
339,1240
339,649
339,959
339,926
339,618
339,47
339,256
339,307
339,323
1598,257
1598,1299
1598,507
1598,815
1598,1144
1598,602
1598,15
1598,346
1598,1130
1598,583
1598,170
1598,1396
490,326
490,173
490,1073
490,513
490,858
490,1294
490,855
490,1237
490,555
490,854
490,1229
490,661
490,92
490,1203
490,253
490,890
490,1363
490,333
490,856
490,85
490,677
490,1302
490,880
490,29
490,96
490,1152
490,1258
490,99
490,47
490,611
490,95
490,98
490,803
490,97
490,90
490,167
490,5
490,442
490,84
490,1144
490,1121
490,104
490,805
490,229
490,166
490,623
490,49
490,783
490,1230
490,831
490,322
490,262
490,641
490,515
490,31
490,55
490,310
490,324
490,325
490,328
490,473
490,569
490,626
490,650
490,716
490,792
490,816
490,851
490,871
490,872
490,891
490,899
490,923
490,971
490,972
490,973
490,974
490,975
490,976
490,978
490,1001
490,1046
490,1099
490,1143
490,1147
490,1205
73,1144
73,939
73,650
73,1170
73,85
73,452
73,1168
73,1148
73,77
73,534
73,964
73,530
73,1217
73,1121
73,649
73,967
73,110
73,1214
73,1167
73,1083
73,1354
73,1033
73,495
73,301
73,1371
73,1020
73,855
73,190
73,942
73,1277
73,222
73,1065
73,828
73,28
73,1247
73,129
73,558
73,30
73,135
73,1160
73,435
73,544
73,1211
73,1206
73,179
73,615
73,1197
73,634
73,250
73,502
73,866
73,104
73,197
73,341
73,1368
73,513
73,746
73,1313
73,349
73,1152
73,1268
73,217
73,982
73,400
73,198
73,677
73,189
73,103
73,648
73,54
73,518
73,831
73,1022
73,805
73,871
73,850
73,830
73,873
73,956
73,257
73,940
73,84
73,823
73,605
73,1129
73,223
73,854
73,874
73,1258
73,167
73,1302
73,49
73,173
73,1325
73,521
73,1357
73,848
73,166
73,744
73,782
73,35
73,943
73,130
73,577
73,916
73,375
73,1218
73,1094
73,365
73,249
73,1003
73,1363
73,1237
73,790
73,1275
73,557
73,832
73,843
73,1163
73,262
73,1049
73,616
73,507
73,147
73,1232
73,1278
73,430
73,298
73,1299
73,689
73,1203
73,644
73,1390
73,441
73,598
73,1193
73,1312
73,259
73,118
73,393
73,1002
73,454
73,1145
73,801
73,1251
73,890
73,1011
73,561
73,152
73,491
73,863
73,588
73,17
73,29
73,38
73,42
73,47
73,87
73,127
73,89
73,136
73,137
73,153
73,154
73,155
73,156
73,157
73,158
73,160
73,161
73,162
73,163
73,177
73,203
73,205
73,221
73,227
73,229
73,242
73,243
73,245
73,246
73,252
73,254
73,261
73,295
73,302
73,307
73,311
73,319
73,320
73,317
73,322
73,323
73,331
73,334
73,335
73,372
73,374
73,387
73,388
73,412
73,429
73,431
73,432
73,434
73,455
73,456
73,457
73,483
73,488
73,514
73,515
73,537
73,543
73,559
73,560
73,562
73,564
73,566
73,569
73,570
73,572
73,573
73,578
73,579
73,582
73,585
73,586
73,587
73,591
73,592
73,594
73,609
73,618
73,619
73,651
73,643
73,645
73,661
73,691
73,692
73,694
73,695
73,696
73,697
73,699
73,703
73,729
73,730
73,733
73,674
73,783
73,795
73,803
73,824
73,826
73,815
73,833
73,869
73,872
73,880
73,886
73,899
73,906
73,907
73,909
73,923
73,926
73,933
73,938
73,954
73,955
73,971
73,972
73,973
73,974
73,975
73,976
73,996
73,997
73,1012
73,1014
73,1015
73,1031
73,1042
73,1041
73,1054
73,1060
73,1062
73,1095
73,1099
73,1126
73,1156
73,1157
73,1158
73,1171
73,1172
73,1173
73,1204
73,1220
73,1229
73,1230
73,1233
73,1234
73,1248
73,1249
73,1250
73,1254
73,1255
73,1256
73,1252
73,1253
73,1240
73,1246
73,1265
73,1293
73,1309
73,1343
381,257
381,254
381,649
381,1202
381,1144
381,551
381,1170
381,259
381,153
381,816
381,650
381,772
381,120
381,855
381,365
381,35
381,1148
381,239
381,20
381,256
381,255
381,121
381,312
381,552
381,559
381,562
381,623
381,626
381,1291
1666,365
1666,1330
1666,18
1666,1336
1666,1395
1666,58
1666,1241
1666,470
1666,571
1666,346
1666,86
1666,1102
1666,981
1305,507
1305,1144
1305,784
1305,1299
1305,60
1305,257
1305,1138
1305,935
1305,967
1305,583
1305,365
1296,365
1296,257
1296,583
1296,662
1296,470
1296,1364
1296,1395
1296,879
1296,485
1296,1045
1296,269
1296,312
1296,471
1296,524
1296,784
1296,894
1296,895
1296,1130
1296,1396
1296,1240
1296,1276
30,259
30,120
30,1144
30,254
30,255
30,256
30,307
30,308
30,323
30,557
30,559
30,562
30,564
30,566
30,926
30,1145
1359,257
1359,309
1359,583
1359,815
1359,534
1359,1331
1359,67
1359,614
1359,551
1359,64
1359,1228
1359,60
1359,1041
1359,1144
1359,933
1359,616
1359,66
1359,615
1359,935
1359,65
1359,72
1359,62
1359,61
1359,71
1359,552
1359,909
481,254
481,583
481,1299
481,650
481,647
481,365
481,409
481,43
481,575
481,228
481,143
481,60
481,879
481,300
481,307
481,323
481,546
481,557
481,564
481,566
481,689
481,702
481,837
481,910
481,926
481,977
481,1145
481,1283
1196,1322
1196,1091
1196,309
1196,708
1196,707
1196,226
1196,551
1196,845
1196,706
1196,650
1196,816
1196,108
1196,953
1196,1335
1196,348
1196,786
1196,583
1196,316
1196,1130
1196,106
1196,152
1196,604
1196,827
1196,729
1196,1299
1196,160
1196,161
1196,162
1196,163
1196,317
1196,552
1196,1092
1196,1336
399,1015
399,760
399,361
399,107
399,129
399,394
399,153
399,334
399,1170
399,106
399,311
399,301
399,137
399,1246
