,edges,metagrad
0,26320,0.00013440441398415715
1,40063,0.0001333093678113073
2,103855,0.00013218808453530073
3,135373,0.000130143336718902
4,175993,0.00012394110672175884
5,57873,0.00012355894432403147
6,134398,0.0001223727158503607
7,115985,0.00012197955948067829
8,81723,0.00011929908214369789
9,189021,0.00011854625336127356
10,97735,0.000113739661173895
11,67710,0.00011362790974089876
12,98990,0.00011264195927651599
13,144575,0.00011234271369175985
14,37004,0.0001118934596888721
15,24324,0.00011064084537792951
16,65403,0.00011027086293324828
17,190045,0.00011014037590939552
18,49137,0.00010946466500172392
19,64257,0.00010851867409655824
20,32615,0.00010847616067621857
21,33138,0.00010846478107850999
22,122930,0.00010740906145656481
23,77684,0.00010692958312574774
24,7783,0.00010680026753107086
25,32798,0.000104560524050612
26,152237,0.00010437637683935463
27,4097,0.00010287173063261434
28,9217,0.00010283216397510841
29,77525,0.0001020986310322769
30,188532,0.00010177594231208786
31,76339,0.00010166583524551243
32,69177,0.00010126594133907929
33,9672,0.00010112843301612884
34,156404,0.00010106042464030907
35,17067,0.00010071449651150033
36,88938,0.00010068846313515678
37,76460,0.0001006058300845325
38,22810,9.978474554372951e-05
39,59437,9.967343794414774e-05
40,35789,9.927688370225951e-05
41,14618,9.92704663076438e-05
42,382,9.898399002850056e-05
43,4887,9.896040864987299e-05
44,174259,9.878995479084551e-05
45,129679,9.856282122200355e-05
46,158149,9.840363054536283e-05
47,110910,9.804379806155339e-05
48,149739,9.77489908109419e-05
49,153078,9.75588773144409e-05
50,148114,9.754303027875721e-05
51,146741,9.748588490765542e-05
52,81053,9.731564205139875e-05
53,164382,9.69283064478077e-05
54,45108,9.659729403210804e-05
55,121598,9.603598300600424e-05
56,6096,9.577837045071647e-05
57,52042,9.572687122272328e-05
58,55561,9.569755638949573e-05
59,45514,9.558829333400354e-05
60,51457,9.542261977912858e-05
61,174244,9.53572744037956e-05
62,177476,9.523041808279231e-05
63,123363,9.488919749855995e-05
64,36134,9.47393782553263e-05
65,1595,9.469981159782037e-05
66,84604,9.429879719391465e-05
67,94875,9.398754627909511e-05
68,64539,9.400491398992017e-05
69,172234,9.380151459481567e-05
70,56914,9.359738760394976e-05
71,110902,9.303871775045991e-05
72,183380,9.288051660405472e-05
73,68688,9.281327947974205e-05
74,37409,9.268161375075579e-05
75,54824,9.268199937650934e-05
76,73278,9.264735854230821e-05
77,61054,9.259101352654397e-05
78,125391,9.229570423485711e-05
79,127224,9.223884990205988e-05
80,148877,9.222883090842515e-05
81,196054,9.219962521456182e-05
82,174215,9.186621173284948e-05
83,115620,9.141858026850969e-05
84,190801,9.131784463534132e-05
85,137426,9.10325616132468e-05
86,116837,9.102701733354479e-05
87,53690,9.096252324525267e-05
88,144321,9.075724665308371e-05
89,2642,9.062690514838323e-05
90,143146,9.050215157913044e-05
91,171695,9.041745215654373e-05
92,176193,9.033676178660244e-05
93,166071,9.018035780172795e-05
94,6493,9.004704043036327e-05
95,199723,8.99621591088362e-05
96,127743,8.968323527369648e-05
97,121253,8.966003224486485e-05
98,197018,8.920517575461417e-05
99,112839,8.919861284084618e-05
100,57469,8.915789658203721e-05
101,24437,8.909046300686896e-05
102,3707,8.888628508429974e-05
103,106420,8.887317380867898e-05
104,196620,8.869834709912539e-05
105,181185,8.864959818311036e-05
106,89059,8.851462916936725e-05
107,32711,8.842919487506151e-05
108,81862,8.819581125862896e-05
109,184621,8.785018872004002e-05
110,70645,8.772227010922506e-05
111,64886,8.763731602812186e-05
112,128231,8.750450797379017e-05
113,102153,8.748423715587705e-05
114,9187,8.746089588385075e-05
115,137400,8.74573306646198e-05
116,118752,8.743768557906151e-05
117,182563,8.738809265196323e-05
118,16653,8.729772525839508e-05
119,181471,8.724649524083361e-05
120,158436,8.70885924086906e-05
121,163295,8.705522486707196e-05
122,159751,8.704894571565092e-05
123,3942,8.69465438881889e-05
124,161559,8.694682765053585e-05
125,64602,8.676318975631148e-05
126,78191,8.652839460410178e-05
127,38133,8.640563464723527e-05
128,9728,8.636207348899916e-05
129,121037,8.624730980955064e-05
130,42929,8.617027197033167e-05
131,125315,8.609733049524948e-05
132,158118,8.602715388406068e-05
133,147681,8.599036664236337e-05
134,113424,8.598046406405047e-05
135,9538,8.59761712490581e-05
136,168255,8.597345004091039e-05
137,195956,8.597200940130278e-05
138,109704,8.584189345128834e-05
139,16291,8.570773934479803e-05
140,64535,8.567234181100503e-05
141,151759,8.557784894946963e-05
142,80295,8.554103987989947e-05
143,52821,8.551937207812443e-05
144,3609,8.532989886589348e-05
145,17824,8.525534212822095e-05
146,21028,8.513066859450191e-05
147,185813,8.512299973517656e-05
148,22857,8.504954166710377e-05
149,4761,8.503044955432415e-05
150,136253,8.496983355144039e-05
151,114010,8.496347436448559e-05
152,56236,8.464302663924173e-05
153,181840,8.463810081593692e-05
154,70276,8.457662625005469e-05
155,119032,8.456168143311515e-05
156,109842,8.442884427495301e-05
157,37002,8.433995390078053e-05
158,147299,8.432863251073286e-05
159,74769,8.429525041719899e-05
160,168307,8.421130769420415e-05
161,157268,8.417596836807206e-05
162,138330,8.389642607653514e-05
163,17470,8.388201240450144e-05
164,189274,8.386417175643146e-05
165,143593,8.381408406421542e-05
166,60692,8.373350283363834e-05
167,93631,8.413234172621742e-05
168,93058,8.34927341202274e-05
169,106390,8.347583207068965e-05
170,103372,8.345099922735244e-05
171,79330,8.344263187609613e-05
172,25025,8.34135789773427e-05
173,178141,8.340749627677724e-05
174,3844,8.315785089507699e-05
175,126169,8.303958748001605e-05
176,170632,8.302830246975645e-05
177,6949,8.292160055134445e-05
178,74081,8.288572280434892e-05
179,8148,8.277843880932778e-05
180,101639,8.276660810224712e-05
181,194691,8.269866521004587e-05
182,45475,8.263017662102357e-05
183,68128,8.252294355770573e-05
184,29509,8.251073450082913e-05
185,50949,8.240549504989758e-05
186,9619,8.233188418671489e-05
187,66784,8.224778139265254e-05
188,88198,8.224693010561168e-05
189,19882,8.221685129683465e-05
190,152803,8.219960727728903e-05
191,181089,8.208432700484991e-05
192,198128,8.19939305074513e-05
193,92836,8.199395233532414e-05
194,84765,8.195170812541619e-05
195,71075,8.192259701900184e-05
196,12505,8.155485556926578e-05
197,16888,8.140401769196615e-05
198,22757,8.123683801386505e-05
199,94583,8.105275628622621e-05
200,108622,8.103856089292094e-05
201,73901,8.098567923298106e-05
202,102947,8.09803168522194e-05
203,177228,8.084194996627048e-05
204,22502,8.07823525974527e-05
205,178080,8.07001197244972e-05
206,109859,8.058148523559794e-05
207,199754,8.057755621848628e-05
208,81326,8.046350558288395e-05
209,54907,8.042041736189276e-05
210,9335,8.031853212742135e-05
211,100944,8.027836884139106e-05
212,44582,8.027539297472686e-05
213,160489,8.026996511034667e-05
214,174447,8.02364302217029e-05
215,147239,8.01779460744001e-05
216,117326,8.0173384048976e-05
217,110094,8.002830145414919e-05
218,40563,8.002068352652714e-05
219,83323,7.999790250323713e-05
220,62920,7.971714512677863e-05
221,126922,7.970012666191906e-05
222,132048,7.968020508997142e-05
223,185341,7.968132558744401e-05
224,27,7.967303827172145e-05
225,126536,7.952994928928092e-05
226,165125,7.948877464514226e-05
227,49427,7.949089194880798e-05
228,103827,7.943549280753359e-05
229,41432,7.933994493214414e-05
230,9181,7.933902816148475e-05
231,36854,7.929489947855473e-05
232,54994,7.927825936349109e-05
233,36645,7.922827353468165e-05
234,114846,7.920153439044952e-05
235,8620,7.920123607618734e-05
236,137202,7.920037751318887e-05
237,122779,7.917422044556588e-05
238,170240,7.914072193671018e-05
239,18461,7.908428233349696e-05
240,93035,7.892995927250013e-05
241,100649,7.884009392000735e-05
242,138473,7.879593613324687e-05
243,49404,7.87590179243125e-05
244,181254,7.874034781707451e-05
245,70613,7.869784894865006e-05
246,197355,7.866109808674082e-05
247,94639,7.86486707511358e-05
248,103148,7.864030339987949e-05
249,109780,7.857313175918534e-05
250,178089,7.850563997635618e-05
251,42447,7.840452599339187e-05
252,105671,7.840267062420025e-05
253,83599,7.829970127204433e-05
254,70559,7.827040826668963e-05
255,126285,7.825607463018969e-05
256,54625,7.821805775165558e-05
257,141949,7.81709240982309e-05
258,183894,7.815071876393631e-05
259,65500,7.81014168751426e-05
260,147914,7.800565072102472e-05
261,101718,7.796470890752971e-05
262,3703,7.794661360094324e-05
263,159128,7.789311348460615e-05
264,166944,7.783334149280563e-05
265,120300,7.782581815263256e-05
266,87081,7.766987255308777e-05
267,169924,7.760829612379894e-05
268,80732,7.757981802569702e-05
269,97795,7.75772932684049e-05
270,164986,7.755812112009153e-05
271,190967,7.745484617771581e-05
272,59462,7.744964386802167e-05
273,8376,7.743496826151386e-05
274,128014,7.740865839878097e-05
275,12167,7.740837463643402e-05
276,43091,7.74045183788985e-05
277,98759,7.737236592220142e-05
278,139104,7.729726348770782e-05
279,97698,7.728677883278579e-05
280,48546,7.7271499321796e-05
281,105706,7.720231951680034e-05
282,25368,7.713010563747957e-05
283,151391,7.699834532104433e-05
284,105916,7.6994692790322e-05
285,183971,7.69996113376692e-05
286,38202,7.683379953959957e-05
287,76169,7.676103996345773e-05
288,89237,7.669883780181408e-05
289,33804,7.668401667615399e-05
290,66169,7.653063221368939e-05
291,50079,7.644028664799407e-05
292,186375,7.637708768015727e-05
293,26771,7.634104258613661e-05
294,126308,7.632069173268974e-05
295,131868,7.631105108885095e-05
296,91771,7.627897866768762e-05
297,79113,7.624124555150047e-05
298,51210,7.617950177518651e-05
299,69021,7.600116805406287e-05
300,51736,7.5994357757736e-05
301,167390,7.598454976687208e-05
302,79555,7.597151852678508e-05
303,65789,7.595299393869936e-05
304,115901,7.594787166453898e-05
305,97705,7.594529597554356e-05
306,76414,7.58828318794258e-05
307,30010,7.569870649604127e-05
308,50664,7.562853716081008e-05
309,98997,7.543512037955225e-05
310,145327,7.540932710980996e-05
311,56769,7.538225327152759e-05
312,199380,7.537934288848191e-05
313,170615,7.537303463323042e-05
314,129398,7.534216274507344e-05
315,6845,7.533522875746712e-05
316,32130,7.532011659350246e-05
317,163188,7.531232404289767e-05
318,27219,7.529713184339926e-05
319,64648,7.528652349719778e-05
320,8826,7.519620703533292e-05
321,120156,7.518375059589744e-05
322,108937,7.511335570598021e-05
323,50396,7.510392606491223e-05
324,16268,7.507358532166108e-05
325,3061,7.505891699111089e-05
326,158474,7.504827226512134e-05
327,188123,7.50408144085668e-05
328,105792,7.502252992708236e-05
329,22614,7.501815707655624e-05
330,21558,7.49991595512256e-05
331,41816,7.495920726796612e-05
332,131239,7.493842713302001e-05
333,64930,7.49112805351615e-05
334,44539,7.486589311156422e-05
335,64064,7.477402687072754e-05
336,3089,7.473042933270335e-05
337,93354,7.46875157346949e-05
338,51504,7.461581117240712e-05
339,159123,7.460675260517746e-05
340,167062,7.457895117113367e-05
341,191750,7.45279758120887e-05
342,91185,7.449090480804443e-05
343,47440,7.447077223332599e-05
344,107798,7.443964568665251e-05
