,edges,metagrad,accuracy-before-surrogate,accuracy-after-surrogate,accuracy-unseen-surrogate,loss-before-surrogate,loss-after-surrogate,loss-unseen-surrogate,accuracy-before-target,accuracy-after-target,accuracy-unseen-target,loss-before-target,loss-after-target,loss-unseen-target,auc-before-surrogate,auc-after-surrogate,auc-unseen-surrogate,auc-before-target,auc-after-target,auc-unseen-target
0,136784,-1,0.7731472849845886,0.7731472849845886,0.7662267088890076,0.46290701627731323,0.46290701627731323,0.4802100956439972,0.7748200297355652,0.7748200297355652,0.7596394419670105,0.4778291881084442,0.4778291881084442,0.510779857635498,0.8581663652834122,0.8581663652834122,0.8510065894705854,0.8582171204423568,0.8582171204423568,0.8347483391393944
1,87412,-1,0.7731472849845886,0.7731521129608154,0.7662514448165894,0.4629029631614685,0.46290090680122375,0.48020803928375244,0.7748012542724609,0.7748060822486877,0.7596394419670105,0.4779025614261627,0.4779011309146881,0.5108035206794739,0.8581681639778569,0.8581705347722877,0.8510090623620038,0.8582229425201842,0.8582244230262002,0.8347791828173299
2,85508,-1,0.7731472849845886,0.773157000541687,0.7662267088890076,0.4629127085208893,0.46289947628974915,0.48020249605178833,0.7747636437416077,0.774773359298706,0.7597385048866272,0.47822141647338867,0.47820374369621277,0.5109824538230896,0.8581606287210091,0.8581688346238868,0.8510064888867082,0.8581812480951211,0.8581906312408154,0.8348287633089643
3,92076,-1,0.7731472849845886,0.7731618285179138,0.7661028504371643,0.4629378616809845,0.46290966868400574,0.4802154004573822,0.7748012542724609,0.7748157978057861,0.759911835193634,0.4786965250968933,0.4786708354949951,0.5113113522529602,0.8581468386291522,0.8581619486032959,0.8510019846916246,0.8581199550443658,0.8581362800033913,0.8348085017908837
4,42530,-1,0.7731285095214844,0.773141622543335,0.7661276459693909,0.4629398584365845,0.46291112899780273,0.4802187979221344,0.7750706076622009,0.7750900387763977,0.7604566812515259,0.47909611463546753,0.4790678322315216,0.5116074085235596,0.858146006456507,0.8581618321767255,0.851003321721211,0.8580402375503909,0.8580591374897946,0.8349918011873804
5,84222,-1,0.773122251033783,0.7731401920318604,0.7661276459693909,0.46297040581703186,0.4629260003566742,0.4802439510822296,0.7750768661499023,0.7751011848449707,0.7604318857192993,0.4791305661201477,0.4790974259376526,0.5116255283355713,0.8581369037547922,0.8581598707513753,0.8510016252882587,0.8580290545435254,0.8580534120098224,0.834999278740003
6,110195,-1,0.7731472849845886,0.7731638550758362,0.7661523818969727,0.4629646837711334,0.46292150020599365,0.4802487790584564,0.7751144766807556,0.7751373648643494,0.7606547474861145,0.47900626063346863,0.4789726734161377,0.5115352272987366,0.8581495577568283,0.8581716118127692,0.8510075781364997,0.8580323732951888,0.8580568588044666,0.8350193807958393
7,97444,-1,0.7730971574783325,0.7731122970581055,0.7662514448165894,0.46297213435173035,0.46293124556541443,0.48030078411102295,0.7750643491744995,0.7750858068466187,0.7604071497917175,0.4785293936729431,0.47849681973457336,0.5111865401268005,0.8581726070091311,0.8581930836431694,0.8510165779402385,0.8580879404675464,0.8581111330578304,0.835046772729503
8,79274,-1,0.7731097340583801,0.7731297016143799,0.7662514448165894,0.46300482749938965,0.4629400372505188,0.48031049966812134,0.7750706076622009,0.7750969529151917,0.7605062127113342,0.47852832078933716,0.47847065329551697,0.5111381411552429,0.8581608900822495,0.8581907932791951,0.851012721407193,0.8580786594344296,0.8581113286009471,0.8350606667975076
9,105332,-1,0.7731034755706787,0.7731282711029053,0.7662514448165894,0.4630158245563507,0.4629351496696472,0.4803171753883362,0.7750518321990967,0.7750830054283142,0.7605556845664978,0.4784780442714691,0.4784128665924072,0.5110680460929871,0.8581629204636849,0.8581999970167065,0.8510138253765762,0.8580738293998826,0.8581132643512122,0.8350704847652224
10,34031,-1,0.7731034755706787,0.7731330990791321,0.7662267088890076,0.46302419900894165,0.4629235565662384,0.48031020164489746,0.7750580906867981,0.7750940918922424,0.7605062127113342,0.478486567735672,0.4784030616283417,0.5110741853713989,0.8581688855581493,0.8582142891350224,0.8510137407389236,0.8580638976767229,0.8581114092784735,0.8350689060890044
11,64661,-1,0.7730721235275269,0.7731066346168518,0.7661523818969727,0.46303921937942505,0.46293699741363525,0.4803273677825928,0.775026798248291,0.7750676870346069,0.7604071497917175,0.4785265028476715,0.47844070196151733,0.5110995769500732,0.8581572949569599,0.8582046146430007,0.8510126846082136,0.8580540703897862,0.858104628853256,0.835059030469555
12,37819,-1,0.7731159925460815,0.7731490731239319,0.7661771774291992,0.4630272388458252,0.46292364597320557,0.48031309247016907,0.7750831842422485,0.7751226425170898,0.7601099610328674,0.47861248254776,0.47852596640586853,0.5111798644065857,0.8581609236782232,0.8582099247710628,0.8510139222805554,0.8580393326362885,0.85809063705139,0.8350094180854718
